id,attr
1,0
2,0
4,0
5,0
6,0
7,0
8,0
10,0
11,0
12,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
25,0
26,0
27,0
28,0
29,0
31,0
32,0
34,0
35,0
38,0
39,0
42,0
43,0
45,0
46,0
49,0
50,0
51,0
52,0
54,0
59,0
60,0
62,0
63,0
64,0
65,0
66,0
68,0
69,0
72,0
73,0
74,0
75,0
77,0
78,0
79,0
80,0
81,0
82,0
84,0
87,0
91,0
92,0
94,0
96,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
107,0
108,0
109,0
110,0
113,0
118,0
119,0
120,0
121,0
124,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
136,0
137,0
138,0
141,0
144,0
145,0
146,0
147,0
149,0
153,0
154,0
155,0
158,0
162,0
163,0
164,0
165,0
166,0
167,0
170,0
172,0
173,0
174,0
176,0
178,0
179,0
180,0
181,0
182,0
185,0
186,0
187,0
189,0
190,0
193,0
196,0
198,0
199,0
200,0
201,0
203,0
207,0
211,0
212,0
214,0
215,0
220,0
221,0
222,0
224,0
225,0
230,0
232,0
233,0
239,0
241,0
242,0
244,0
246,0
248,0
249,0
250,0
251,0
252,0
254,0
255,0
256,0
257,0
259,0
261,0
263,0
264,0
265,0
268,0
269,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
282,0
284,0
285,0
287,0
294,0
296,0
299,0
302,0
303,0
304,0
305,0
307,0
311,0
312,0
313,0
314,0
316,0
317,0
321,0
322,0
323,0
324,0
326,0
327,0
329,0
330,0
331,0
333,0
334,0
335,0
338,0
341,0
343,0
344,0
345,0
347,0
349,0
350,0
351,0
352,0
353,0
354,0
358,0
359,0
360,0
362,0
363,0
364,0
365,0
366,0
367,0
369,0
370,0
371,0
372,0
374,0
376,0
377,0
379,0
382,0
385,0
386,0
390,0
391,0
392,0
393,0
395,0
396,0
397,0
398,0
399,0
401,0
403,0
404,0
405,0
408,0
409,0
411,0
413,0
414,0
418,0
420,0
422,0
423,0
424,0
425,0
426,0
431,0
434,0
435,0
437,0
439,0
441,0
442,0
443,0
444,0
448,0
450,0
451,0
453,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
464,0
